"ID";"LeeftijdReferentiepersoon";"RegioS";"Perioden";"TotaalParticuliereHuishoudens_21"
"1891";"10000";"GM1679";"2016JJ00";
"1892";"10000";"GM1679";"2017JJ00";
"1893";"10000";"GM1679";"2018JJ00";
"1894";"10000";"GM1679";"2019JJ00";
"1895";"10000";"GM1679";"2020JJ00";
"1896";"10000";"GM1679";"2021JJ00";
"1897";"10000";"GM1679";"2022JJ00";
"1898";"10000";"GM1679";"2023JJ00";
"1899";"10000";"GM1679";"2024JJ00";
"1900";"10000";"GM0060";"2000JJ00";"1417"
"1901";"10000";"GM0060";"2001JJ00";"1429"
"1902";"10000";"GM0060";"2002JJ00";"1463"
"1903";"10000";"GM0060";"2003JJ00";"1481"
"1904";"10000";"GM0060";"2004JJ00";"1487"
"1905";"10000";"GM0060";"2005JJ00";"1484"
"1906";"10000";"GM0060";"2006JJ00";"1485"
"1907";"10000";"GM0060";"2007JJ00";"1491"
"1908";"10000";"GM0060";"2008JJ00";"1487"
"1909";"10000";"GM0060";"2009JJ00";"1502"
"1910";"10000";"GM0060";"2010JJ00";"1522"
"1911";"10000";"GM0060";"2011JJ00";"1544"
"1912";"10000";"GM0060";"2012JJ00";"1555"
"1913";"10000";"GM0060";"2013JJ00";"1569"
"1914";"10000";"GM0060";"2014JJ00";"1593"
"1915";"10000";"GM0060";"2015JJ00";"1610"
"1916";"10000";"GM0060";"2016JJ00";"1632"
"1917";"10000";"GM0060";"2017JJ00";"1649"
"1918";"10000";"GM0060";"2018JJ00";"1683"
"1919";"10000";"GM0060";"2019JJ00";"1712"
"1920";"10000";"GM0060";"2020JJ00";"1732"
"1921";"10000";"GM0060";"2021JJ00";"1768"
"1922";"10000";"GM0060";"2022JJ00";"1758"
"1923";"10000";"GM0060";"2023JJ00";"1847"
"1924";"10000";"GM0060";"2024JJ00";"1886"
"1925";"10000";"GM0306";"2000JJ00";"2812"
"1926";"10000";"GM0306";"2001JJ00";"2793"
"1927";"10000";"GM0306";"2002JJ00";"2788"
"1928";"10000";"GM0306";"2003JJ00";"2762"
"1929";"10000";"GM0306";"2004JJ00";"2803"
"1930";"10000";"GM0306";"2005JJ00";"2813"
"1931";"10000";"GM0306";"2006JJ00";
"1932";"10000";"GM0306";"2007JJ00";
"1933";"10000";"GM0306";"2008JJ00";
"1934";"10000";"GM0306";"2009JJ00";
"1935";"10000";"GM0306";"2010JJ00";
"1936";"10000";"GM0306";"2011JJ00";
"1937";"10000";"GM0306";"2012JJ00";
"1938";"10000";"GM0306";"2013JJ00";
"1939";"10000";"GM0306";"2014JJ00";
"1940";"10000";"GM0306";"2015JJ00";
"1941";"10000";"GM0306";"2016JJ00";
"1942";"10000";"GM0306";"2017JJ00";
"1943";"10000";"GM0306";"2018JJ00";
"1944";"10000";"GM0306";"2019JJ00";
"1945";"10000";"GM0306";"2020JJ00";
"1946";"10000";"GM0306";"2021JJ00";
"1947";"10000";"GM0306";"2022JJ00";
"1948";"10000";"GM0306";"2023JJ00";
"1949";"10000";"GM0306";"2024JJ00";
"1950";"10000";"GM0307";"2000JJ00";"54063"
